,tweet
211,@Bank2Professor @iSourabhMishra @tiwariaditi0909 @MoHFW_INDIA @HMOIndia @PIBHomeAffairs @iPiyushPrakash @_cpsharma… https://t.co/k9Ub21GkAW
212,@jonbalcar @CounterBatFire @Braden4198 @formetoknow310 @HoopMixOnly Wearing a mask is to prevent droplets from ente… https://t.co/ks8qssxRfV
213,@NRafter @DavidBegnaud @dacolon 22.3% vaccinated New Yorkers and the numbers are going up? That make sense to you?… https://t.co/xy01v82J8R
214,My dad just tested depositing for COVID despite being fully vaccinated. Please keep social distancing and wearing a… https://t.co/rGJgUVRJVK
215,"😷MaskStop. com 
https://t.co/IzmqAbffT5
💻Domain Available

🎉#Xupermask Drop 1 SOLD OUT!

🎉The New 😷#smartmask by… https://t.co/8f7VH6rkD7"
216,"So I just went to a small business whose policy for COVID was stay outside, we’ll come to you. They waved me in wit… https://t.co/VB450RRYmo"
217,@Sanjay75009080 @HemanNamo In more that 1 yr still same conditions. common sense is not there. Mask is on the chin.… https://t.co/NQBKujkq2E
218,Get vaccinated (if you can)! Wear a mask! Follow CDC guidelines and White House Covid Taskforce info. Educating you… https://t.co/6pvww0sGja
219,Racist?  FYI if masks stopped viruses mask wearers wouldn't have gotten covid. https://t.co/x2didEIXYC
220,@D0gFacedPony Can you scream COVID in a movie theatre if someone doesn't wear a mask?  Can we have those Karen's arrested if they do?
